nid,pid
13,ir:MasterofGlobalAffairsProjects
14,ir:citationCollection
15,ir:graduate-works
16,ir:lac_harvest
17,ir:medprojects
18,ir:mnprojects
19,ir:signatureCollection
20,ir:thesisCollection
21,ir:undergradCollection
1029,ir:22310
1030,ir:792
1031,ir:21005
1032,ir:2579
1033,ir:ir-batch6-5770
1034,ir:ir-batch6-2433
1035,ir:ir-batch6-1726
1036,ir:25053
1037,ir:ir-batch6-4219
1038,ir:ir-batch6-3963
1039,ir:23679
1040,ir:13801
1041,ir:25791
1042,ir:869
1043,ir:11186
1044,ir:26484
1045,ir:4491
1046,ir:ir-batch6-3698
1047,ir:ir-batch6-519
1048,ir:23982
1049,ir:24592
1050,ir:ir-batch6-273
1051,ir:21894
1052,ir:5150
1053,ir:ir-batch6-2359
1054,ir:ir-batch6-5823
1055,ir:25739
1056,ir:ir-batch6-4573
1057,ir:20206
1058,ir:23113
1059,ir:ir-batch6-1875
1060,ir:1106
1061,ir:5969
1062,ir:11917
1063,ir:24250
1064,ir:13752
1065,ir:ir-batch6-3630
1066,ir:4439
1067,ir:10447
1068,ir:540
1069,ir:4181
1070,ir:ir-batch6-3388
1071,ir:11496
1072,ir:26194
1073,ir:25281
1074,ir:ir-batch6-830
1075,ir:ir-batch6-1236
1076,ir:25543
1077,ir:ir-batch6-2123
1078,ir:26656
1079,ir:24813
1080,ir:23369
1081,ir:ir-batch6-4709
1082,ir:3500
1083,ir:ir-batch8-102
1084,ir:21515
1085,ir:ir-batch6-5260
1086,ir:282
1087,ir:22600
1088,ir:6806
1089,ir:ir-batch6-6175
1090,ir:15302
1091,ir:20845
1092,ir:2703
1093,ir:1416
1094,ir:10157
1095,ir:ir-batch6-3320
1096,ir:24740
1097,ir:14938
1098,ir:22953
1099,ir:25229
1100,ir:6755
1101,ir:ir-batch6-2649
1102,ir:ir-batch6-898
1103,ir:ir-batch6-4063
1104,ir:20716
1105,ir:13580
1106,ir:9455
1107,ir:ir-batch6-763
1108,ir:20826
1109,ir:ir-batch6-3429
1110,ir:24049
1111,ir:ir-batch6-5203
1112,ir:ir-batch6-2979
1113,ir:21576
1114,ir:ir-batch6-6116
1115,ir:15361
1116,ir:22663
1117,ir:14608
1118,ir:24870
1119,ir:25520
1120,ir:ir-batch6-1255
1121,ir:ir-batch6-2140
1122,ir:ir-batch6-853
1123,ir:ir-batch6-2682
1124,ir:ir-batch6-1597
1125,ir:13289
1126,ir:ir-batch6-4891
1127,ir:523
1128,ir:ir-batch6-700
1129,ir:ir-batch6-3481
1130,ir:249
1131,ir:25588
1132,ir:23460
1133,ir:20775
1134,ir:ir-batch6-4000
1135,ir:22930
1136,ir:ir-batch6-3343
1137,ir:ir-batch6-4839
1138,ir:24723
1139,ir:2760
1140,ir:ir-batch6-5569
1141,ir:22109
1142,ir:1475
1143,ir:ir-batch6-1087
1144,ir:ir-batch6-2392
1145,ir:ir-batch6-3900
1146,ir:26325
1147,ir:ir-batch6-2450
1148,ir:25030
1149,ir:ir-batch6-1745
1150,ir:24559
1151,ir:ir-batch6-3139
1152,ir:4330
1153,ir:25809
1154,ir:22373
1155,ir:ir-batch6-5713
1156,ir:21066
1157,ir:23949
1158,ir:24233
1159,ir:ir-batch6-3653
1160,ir:10424
1161,ir:22419
1162,ir:ir-batch6-1816
1163,ir:ir-batch6-5079
1164,ir:20265
1165,ir:ir-batch6-4510
1166,ir:3719
1167,ir:23170
1168,ir:ir-batch6-5840
1169,ir:25098
1170,ir:ir-batch6-3191
1171,ir:ir-batch6-210
1172,ir:759
1173,ir:9332
1174,ir:7299
1175,ir:ir-batch6-3385
1176,ir:23364
1177,ir:ir-batch6-4704
1178,ir:10630
1179,ir:ir-batch6-3447
1180,ir:20848
1181,ir:24027
1182,ir:21518
1183,ir:ir-batch6-2917
1184,ir:1371
1185,ir:ir-batch6-6178
1186,ir:ir-batch6-4857
1187,ir:ir-batch6-5507
1188,ir:ir-batch6-895
1189,ir:10963
1190,ir:ir-batch6-1551
1191,ir:26131
1192,ir:ir-batch6-2644
1193,ir:11433
1194,ir:ir-batch6-2186
1195,ir:ir-batch6-1293
1196,ir:10698
1197,ir:227
1198,ir:24537
1199,ir:ir-batch6-3157
1200,ir:25867
1201,ir:2574
1202,ir:ir-batch6-4214
1203,ir:23674
1204,ir:21831
1205,ir:864
1206,ir:ir-batch6-5886
