pid,content_model,collection_pid,page_of,sequence,constituent_of
ir:ir-batch6-4706,ir:citationCModel,ir:citationCollection,,,
ir:1022,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-5049,ir:citationCModel,ir:citationCollection,,,
ir:10266,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-778,ir:citationCModel,ir:citationCollection,,,
ir:10838,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-842,ir:citationCModel,ir:citationCollection,,,
ir:11984,ir:thesisCModel,ir:thesisCollection,,,
ir:jpearson,islandora:personCModel,ir:people,,,
ir:12195,ir:thesisCModel,ir:thesisCollection,,,
ir:12338,ir:citationCModel,ir:citationCollection,,,
ir:1454,ir:citationCModel,ir:citationCollection,,,
ir:15031,ir:citationCModel,ir:citationCollection,,,
ir:24194,ir:thesisCModel,ir:thesisCollection,,,
ir:15317,ir:citationCModel,ir:citationCollection,,,
ir:24235,ir:citationCModel,ir:citationCollection,,,
ir:20036,ir:citationCModel,ir:citationCollection,,,
ir:25346,ir:thesisCModel,ir:thesisCollection,,,
ir:20059,ir:citationCModel,ir:citationCollection,,,
ir:24473,ir:citationCModel,ir:citationCollection,,,
ir:20452,ir:citationCModel,ir:citationCollection,,,
ir:24793,ir:citationCModel,ir:citationCollection,,,
ir:20883,ir:citationCModel,ir:citationCollection,,,
ir:25238,ir:citationCModel,ir:citationCollection,,,
ir:21007,ir:citationCModel,ir:citationCollection,,,
ir:21022,ir:citationCModel,ir:citationCollection,,,
ir:21029,ir:citationCModel,ir:citationCollection,,,
ir:21234,ir:citationCModel,ir:citationCollection,,,
ir:21340,ir:citationCModel,ir:citationCollection,,,
ir:22094,ir:citationCModel,ir:citationCollection,,,
ir:22201,ir:citationCModel,ir:citationCollection,,,
ir:22475,ir:citationCModel,ir:citationCollection,,,
ir:22792,ir:citationCModel,ir:citationCollection,,,
ir:2351,ir:citationCModel,ir:citationCollection,,,
ir:23771,ir:citationCModel,ir:citationCollection,,,
ir:23890,ir:citationCModel,ir:citationCollection,,,
ir:4237,ir:citationCModel,ir:citationCollection,,,
ir:6604,ir:citationCModel,ir:citationCollection,,,
ir:7695,ir:citationCModel,ir:citationCollection,,,
ir:7699,ir:citationCModel,ir:citationCollection,,,
ir:9014,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-3210,islandora:citationCModel,ir:citationCollection,,,
ir:ir-batch12-103,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-3325,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-1154,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-3986,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-1534,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-4439,ir:citationCModel,ir:citationCollection,,,
ir:ir-batch6-1803,ir:citationCModel,ir:citationCollection,,,
