nid,pid
13,ir:MasterofGlobalAffairsProjects
14,ir:citationCollection
15,ir:graduate-works
16,ir:lac_harvest
17,ir:medprojects
18,ir:mnprojects
19,ir:signatureCollection
20,ir:thesisCollection
21,ir:undergradCollection
1033,ir:ir-batch6-5770
1042,ir:869
1056,ir:ir-batch6-4573
1068,ir:540
1075,ir:ir-batch6-1236
1078,ir:26656
1083,ir:ir-batch8-102
1086,ir:282
1089,ir:ir-batch6-6175
1111,ir:ir-batch6-5203
1114,ir:ir-batch6-6116
1122,ir:ir-batch6-853
1127,ir:523
1129,ir:ir-batch6-3481
1137,ir:ir-batch6-4839
1140,ir:ir-batch6-5569
1151,ir:ir-batch6-3139
1155,ir:ir-batch6-5713
1159,ir:ir-batch6-3653
1162,ir:ir-batch6-1816
1165,ir:ir-batch6-4510
1168,ir:ir-batch6-5840
1179,ir:ir-batch6-3447
1183,ir:ir-batch6-2917
1185,ir:ir-batch6-6178
1187,ir:ir-batch6-5507
1194,ir:ir-batch6-2186
1197,ir:227
1199,ir:ir-batch6-3157
1202,ir:ir-batch6-4214
1206,ir:ir-batch6-5886
1212,ir:737
1220,ir:ir-batch10-107
1223,ir:ir-batch6-5017
1230,ir:ir-batch6-4277
1237,ir:ir-batch6-3134
1243,ir:ir-batch6-5074
1250,ir:ir-batch6-1022
1260,ir:ir-batch6-2974
1263,ir:ir-batch6-3424
1267,ir:26638
1273,ir:244
1283,ir:ir-batch6-5564
1287,ir:ir-batch6-4834
1289,ir:ir-batch6-4425
1293,ir:ir-batch6-5975
1295,ir:ir-batch6-3766
1301,ir:ir-batch7-127
1303,ir:ir-batch6-6259
1309,ir:106
1314,ir:ir-batch6-5626
1317,ir:ir-batch6-3835
1338,ir:ir-batch6-2075
1340,ir:ir-batch6-1360
1346,ir:416
1363,ir:ir-batch6-2887
1367,ir:ir-batch6-905
1368,ir:ir-batch6-5497
1377,ir:ir-batch6-2016
1389,ir:ir-batch6-1940
1395,ir:ir-batch6-5916
1407,ir:ir-batch13-114
1411,ir:ir-batch6-5645
1416,ir:165
1419,ir:ir-batch6-5393
1420,ir:ir-batch6-6086
1427,ir:ir-batch6-4901
1437,ir:ir-batch6-2078
1438,ir:74
1441,ir:ir-batch6-4652
1449,ir:ir-batch6-3511
1459,ir:ir-batch6-4428
1460,ir:ir-batch6-5141
1463,ir:ir-batch6-6254
1470,ir:661
1471,ir:ir-batch6-5683
1473,ir:ir-batch6-3890
1482,ir:10276
1484,ir:ir-batch6-3001
1493,ir:ir-batch6-3838
1495,ir:ir-batch6-4389
1497,ir:602
1504,ir:ir-batch6-5122
1521,ir:ir-batch6-3062
1523,ir:ir-batch6-5648
1530,ir:168
1534,ir:ir-batch6-2771
1538,ir:ir-batch6-199
1540,ir:ir-batch6-4962
1551,ir:ir-batch12-161
1552,ir:ir-batch6-908
1554,ir:ir-batch6-131
1557,ir:478
1563,ir:ir-batch6-5358
1565,ir:ir-batch6-4631
1568,ir:17
1570,ir:ir-batch9-104
1573,ir:744
1579,ir:ir-batch6-5064
1580,ir:ir-batch6-2327
1597,ir:ir-batch14-124
1607,ir:ir-batch6-5574
1609,ir:596
1613,ir:26680
1625,ir:ir-batch6-4777
1627,ir:26628
1631,ir:237
1632,ir:ir-batch6-5517
1636,ir:ir-batch6-4847
1642,ir:ir-batch6-885
1648,ir:ir-batch6-2907
1649,ir:ir-batch6-6168
1660,ir:ir-batch6-1868
1662,ir:ir-batch6-5007
1665,ir:ir-batch10-117
1667,ir:ir-batch6-1793
1669,ir:ir-batch6-5896
1677,ir:ir-batch6-3147
1690,ir:ir-batch6-5579
1695,ir:ir-batch6-4829
1697,ir:259
1701,ir:ir-batch6-2692
1705,ir:533
1706,ir:ir-batch11-101
1708,ir:ir-batch6-5213
1709,ir:ir-batch6-2969
1712,ir:ir-batch6-6106
1718,ir:ir-batch6-2150
1723,ir:ir-batch6-200
1726,ir:ir-batch6-1806
1731,ir:ir-batch6-5850
1734,ir:ir-batch6-4500
1742,ir:ir-batch6-3910
1745,ir:ir-batch6-5703
1752,ir:ir-batch6-4563
1786,ir:ir-batch6-3973
1801,ir:ir-batch6-4073
1808,ir:ir-batch6-1226
1812,ir:ir-batch6-5270
1815,ir:292
1820,ir:550
1834,ir:ir-batch6-5658
1838,ir:ir-batch6-3072
1842,ir:ir-batch6-5132
1853,ir:ir-batch6-2271
