pid,content_model,collection_pid,page_of,sequence,constituent_of
imagined:209009,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208548,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208838,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209179,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209217,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209225,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208663,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208895,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209141,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208371,islandora:sp_basic_image,,,,
imagined:208719,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208873,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208897,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209126,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208477,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209090,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209222,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_040,islandora:pageCModel,imagined:208295,imagined:208295,46,
imagined:208687,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208697,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209419,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208981,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209136,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208841,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209026,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208414,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208818,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208824,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208295-p_006,islandora:pageCModel,imagined:208295,imagined:208295,12,
imagined:209201,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209127,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_080,islandora:pageCModel,imagined:208295,imagined:208295,86,
imagined:208296-p_014,islandora:pageCModel,imagined:208296,imagined:208296,20,
imagined:208296-p_067,islandora:pageCModel,imagined:208296,imagined:208296,73,
imagined:208572,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_089,islandora:pageCModel,imagined:208295,imagined:208295,95,
imagined:209072,islandora:sp_basic_image,,,,
imagined:208326,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209318,islandora:sp_pdf,imagined:pdfs,,,
imagined:208365,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208515,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209087,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:site-content,islandora:collectionCModel,imagined:collection,,,
imagined:cummins,islandora:collectionCModel,imagined:collection,,,
imagined:208295-p_017,islandora:pageCModel,imagined:208295,imagined:208295,23,
imagined:208296-p_059,islandora:pageCModel,imagined:208296,imagined:208296,65,
imagined:209128,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208325,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208784,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209413,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208471,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208629,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:209408,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209402,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208439,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209393,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209234,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208735,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:209361,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209197,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208445,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208659,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208296-f_002,islandora:pageCModel,imagined:208296,imagined:208296,3,
imagined:208761,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208914,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209130,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209170,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209095,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_066,islandora:pageCModel,imagined:208295,imagined:208295,72,
imagined:208779,islandora:sp_basic_image,,,,
imagined:208746,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:208920,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209051,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208874,islandora:sp_large_image_cmodel,imagined:collection,,,
