nid,pid
13,ir:MasterofGlobalAffairsProjects
14,ir:citationCollection
15,ir:graduateworks
16,ir:lac_harvest
17,ir:medprojects
18,ir:mnprojects
19,ir:signatureCollection
20,ir:thesisCollection
21,ir:undergradCollection
70,ir:irbatch65760
71,ir:1086
72,ir:24412
73,ir:9274
74,ir:2648
75,ir:4218
76,ir:25118
77,ir:24665
78,ir:20449
79,ir:irbatch6494
80,ir:irbatch61950
81,ir:21681
82,ir:1782
83,ir:21391
84,ir:2645
85,ir:24606
86,ir:23702
87,ir:irbatch6308
88,ir:irbatch62861
89,ir:irbatch64989
90,ir:irbatch6618
91,ir:irbatch64921
92,ir:irbatch62802
93,ir:irbatch62751
94,ir:irbatch61386
95,ir:irbatch63042
96,ir:irbatch65668
97,ir:4521
98,ir:irbatch62055
99,ir:21929
100,ir:23897
101,ir:irbatch61960
102,ir:irbatch63235
103,ir:irbatch64176
104,ir:21252
105,ir:1493
106,ir:2233
107,ir:13842
108,ir:irbatch61275
109,ir:irbatch62160
110,ir:irbatch6873
111,ir:irbatch13124
112,ir:irbatch61623
113,ir:12454
114,ir:8039
115,ir:82
116,ir:23506
117,ir:22856
118,ir:21473
119,ir:irbatch6315
120,ir:irbatch61640
121,ir:irbatch62297
122,ir:25389
123,ir:irbatch6938
124,ir:4531
125,ir:irbatch63738
126,ir:10225
127,ir:irbatch63099
128,ir:23841
129,ir:20407
130,ir:irbatch63031
131,ir:15779
132,ir:irbatch65461
133,ir:irbatch63589
134,ir:25480
135,ir:10756
136,ir:25428
137,ir:22481
138,ir:20597
139,ir:irbatch6863
140,ir:irbatch6730
141,ir:23359
142,ir:irbatch6529
143,ir:irbatch61716
144,ir:2223
145,ir:1322
146,ir:irbatch66183
147,ir:irbatch64585
148,ir:20551
149,ir:707
150,ir:2796
151,ir:23772
152,ir:24918
153,ir:irbatch62811
154,ir:irbatch6668
155,ir:irbatch62789
156,ir:irbatch62721
157,ir:25902
158,ir:24452
159,ir:irbatch65172
160,ir:irbatch62025
161,ir:irbatch66073
162,ir:irbatch6665
163,ir:21103
164,ir:irbatch65676
165,ir:irbatch64475
166,ir:10032
167,ir:24625
168,ir:20988
169,ir:irbatch61828
170,ir:23624
171,ir:irbatch64807
172,ir:15146
173,ir:22386
174,ir:irbatch61718
175,ir:4179
176,ir:irbatch63370
177,ir:2753
178,ir:irbatch6733
179,ir:9405
180,ir:2800
181,ir:5939
182,ir:1156
183,ir:irbatch61776
184,ir:5609
185,ir:25859
186,ir:irbatch64792
187,ir:irbatch63745
188,ir:irbatch63816
189,ir:irbatch13154
190,ir:22265
191,ir:irbatch65605
192,ir:irbatch61429
193,ir:irbatch61320
194,ir:10293
195,ir:22883
196,ir:21617
197,ir:12320
198,ir:23008
199,ir:irbatch65411
200,ir:22848
201,ir:irbatch61385
202,ir:13771
203,ir:irbatch61856
204,ir:2788
205,ir:24898
206,ir:6715
207,ir:4313
208,ir:14451
209,ir:2785
210,ir:22144
211,ir:irbatch64596
212,ir:5677
213,ir:irbatch61838
214,ir:1331
215,ir:9418
216,ir:24798
217,ir:irbatch61246
218,ir:9425
219,ir:irbatch6770
220,ir:irbatch61866
221,ir:irbatch10119
222,ir:20218
223,ir:12225
224,ir:irbatch62347
225,ir:irbatch61542
226,ir:176
227,ir:irbatch65656
228,ir:7160
229,ir:1530
230,ir:9510
231,ir:irbatch62066
232,ir:1781
233,ir:irbatch6648
234,ir:3483
235,ir:irbatch64622
236,ir:22293
237,ir:5018
238,ir:irbatch64351
239,ir:21337
240,ir:23221
241,ir:irbatch62852
242,ir:247
243,ir:4454
244,ir:irbatch9117
245,ir:24295
246,ir:irbatch64859
247,ir:24081
248,ir:25792
249,ir:23981
250,ir:4459
251,ir:irbatch63192
252,ir:irbatch62391
253,ir:irbatch63482
254,ir:25523
255,ir:irbatch6383
256,ir:irbatch63512
257,ir:24618
258,ir:25371
259,ir:11566
260,ir:1585
261,ir:25312
262,ir:2656
263,ir:13954
264,ir:9881
265,ir:23046
266,ir:1053
267,ir:23784
268,ir:irbatch65646
269,ir:irbatch65915
270,ir:20620
271,ir:irbatch6330
272,ir:22253
273,ir:irbatch64120
274,ir:irbatch62892
275,ir:irbatch62769
276,ir:6926
277,ir:irbatch6491
278,ir:15526
279,ir:irbatch6147
280,ir:irbatch61102
281,ir:irbatch61668
282,ir:irbatch64495
